StudentId,STATEATTEND1,STATEATTEND2,STATE
67bf43f4-9cef-425f-9cfb-f6aa42461870,,,
565a585e-8576-41e8-964d-8168174ce5f4,,,
e356ee7c-33a1-44bf-93f5-ec017e06c356,ACTSTATEATTEND1OR,,
18880a81-0069-4a0c-8f8d-f808de4878bd,,,
536a5883-e62d-461a-95f0-f6aa9fa46698,ACTSTATEATTEND1TN,ACTSTATEATTEND2FL,"DECSTATEFL,DECSTATEGA,DECSTATETN"
43ce11bc-64bc-4554-9846-306e34c5cb03,,,
b5de8181-98de-4439-980e-af96d6dd9787,,,"DECSTATECT,DECSTATENJ,DECSTATENY"
529b399b-0b73-4ca2-946e-bb0f4b7099d0,ACTSTATEATTEND1MS,,"DECSTATEAL,DECSTATEGA,DECSTATEMS"
99abd655-3154-4323-afee-38b13afefcce,ACTSTATEATTEND1OK,,
b852b1d7-0446-4a9e-a1bf-911dd135e9bf,ACTSTATEATTEND1MS,,
07545fdc-8810-414f-b7b2-a2739e3c9d54,,,
7353f6ac-c78c-48f5-b85d-b0c975d9ea74,ACTSTATEATTEND1FL,ACTSTATEATTEND2FL,
74d92e74-ae94-4629-87df-f27fc18f8fa0,ACTSTATEATTEND1OR,ACTSTATEATTEND2WA,
879bc27d-3171-472b-ab90-7d04bc33d2ad,ACTSTATEATTEND1WA,ACTSTATEATTEND2TX,"DECSTATEFL,DECSTATETX"
c11dd533-274c-4b5e-b47c-1115defc634a,ACTSTATEATTEND1KY,ACTSTATEATTEND2KY,
eb03b326-9216-4c5a-bf29-e4bbe2259721,,,
71d2ebec-fe53-45f8-8389-0c114a213fb7,,,
2cbea20f-20a0-4778-b56c-f0917be3c860,ACTSTATEATTEND1TX,,
90520ac3-3ab8-412b-8b63-e23aaadee429,ACTSTATEATTEND1MS,,"DECSTATEFL,DECSTATEMS,DECSTATEVA"
89c3e171-e8b5-4079-8889-b9bb21f3deb4,ACTSTATEATTEND1UT,,
7a93cfa2-34e6-4ec7-b96c-7daba11b6c64,,,DECSTATECA
3a073e17-20ae-4c4f-9eed-4c19544a0e57,,,
2a76ad76-7481-41a8-aa79-b2a41910285a,ACTSTATEATTEND1NC,,"DECSTATEMI,DECSTATENC"
b388c512-92c0-4a00-b75f-0047a9f89ca3,ACTSTATEATTEND1AZ,ACTSTATEATTEND2CA,"DECSTATEIA,DECSTATEMN,DECSTATEWI"
